scenario,corr_type,instance_file,n,obj_value,runtime
scenario 1,correlated,scen_1id_10_objs_1000_size_1550_sets_89_k_18_correlated.txt,1000,2602.0,0.05
scenario 1,correlated,scen_1id_10_objs_300_size_465_sets_77_k_20_correlated.txt,300,1271.0,0.01
scenario 1,correlated,scen_1id_10_objs_500_size_775_sets_83_k_20_correlated.txt,500,1767.0,0.01
scenario 1,correlated,scen_1id_10_objs_700_size_1085_sets_91_k_20_correlated.txt,700,2175.0,0.01
scenario 1,correlated,scen_1id_10_objs_800_size_1240_sets_94_k_18_correlated.txt,800,2342.0,0.01
scenario 1,correlated,scen_1id_1_objs_1000_size_1550_sets_89_k_18_correlated.txt,1000,2602.0,0.01
scenario 1,correlated,scen_1id_1_objs_300_size_465_sets_74_k_20_correlated.txt,300,1174.0,0.01
scenario 1,correlated,scen_1id_1_objs_500_size_775_sets_78_k_20_correlated.txt,500,1732.0,0.01
scenario 1,correlated,scen_1id_1_objs_700_size_1085_sets_82_k_20_correlated.txt,700,2085.0,0.01
scenario 1,correlated,scen_1id_1_objs_800_size_1240_sets_93_k_18_correlated.txt,800,2332.0,0.01
scenario 1,correlated,scen_1id_2_objs_1000_size_1550_sets_96_k_18_correlated.txt,1000,2672.0,0.01
scenario 1,correlated,scen_1id_2_objs_300_size_465_sets_79_k_20_correlated.txt,300,1258.0,0.00
scenario 1,correlated,scen_1id_2_objs_500_size_775_sets_83_k_20_correlated.txt,500,1771.0,0.01
scenario 1,correlated,scen_1id_2_objs_700_size_1085_sets_102_k_20_correlated.txt,700,2282.0,0.01
scenario 1,correlated,scen_1id_2_objs_800_size_1240_sets_100_k_18_correlated.txt,800,2402.0,0.01
scenario 1,correlated,scen_1id_3_objs_1000_size_1550_sets_89_k_18_correlated.txt,1000,2602.0,0.01
scenario 1,correlated,scen_1id_3_objs_300_size_465_sets_76_k_20_correlated.txt,300,1215.0,0.01
scenario 1,correlated,scen_1id_3_objs_500_size_775_sets_84_k_20_correlated.txt,500,1776.0,0.00
scenario 1,correlated,scen_1id_3_objs_700_size_1085_sets_86_k_20_correlated.txt,700,2125.0,0.01
scenario 1,correlated,scen_1id_3_objs_800_size_1240_sets_92_k_18_correlated.txt,800,2317.0,0.01
scenario 1,correlated,scen_1id_4_objs_1000_size_1550_sets_90_k_18_correlated.txt,1000,2612.0,0.01
scenario 1,correlated,scen_1id_4_objs_300_size_465_sets_78_k_20_correlated.txt,300,1201.0,0.01
scenario 1,correlated,scen_1id_4_objs_500_size_775_sets_81_k_20_correlated.txt,500,1756.0,0.01
scenario 1,correlated,scen_1id_4_objs_700_size_1085_sets_82_k_20_correlated.txt,700,2085.0,0.01
scenario 1,correlated,scen_1id_4_objs_800_size_1240_sets_99_k_18_correlated.txt,800,2392.0,0.01
scenario 1,correlated,scen_1id_5_objs_1000_size_1550_sets_84_k_18_correlated.txt,1000,2542.0,0.01
scenario 1,correlated,scen_1id_5_objs_300_size_465_sets_75_k_20_correlated.txt,300,1199.0,0.01
scenario 1,correlated,scen_1id_5_objs_500_size_775_sets_83_k_20_correlated.txt,500,1778.0,0.01
scenario 1,correlated,scen_1id_5_objs_700_size_1085_sets_80_k_20_correlated.txt,700,2065.0,0.01
scenario 1,correlated,scen_1id_5_objs_800_size_1240_sets_91_k_18_correlated.txt,800,2312.0,0.01
scenario 1,correlated,scen_1id_6_objs_1000_size_1550_sets_91_k_18_correlated.txt,1000,2622.0,0.01
scenario 1,correlated,scen_1id_6_objs_300_size_465_sets_78_k_20_correlated.txt,300,1208.0,0.01
scenario 1,correlated,scen_1id_6_objs_500_size_775_sets_87_k_20_correlated.txt,500,1819.0,0.01
scenario 1,correlated,scen_1id_6_objs_700_size_1085_sets_92_k_20_correlated.txt,700,2180.0,0.01
scenario 1,correlated,scen_1id_6_objs_800_size_1240_sets_87_k_18_correlated.txt,800,2272.0,0.01
scenario 1,correlated,scen_1id_7_objs_1000_size_1550_sets_96_k_18_correlated.txt,1000,2672.0,0.01
scenario 1,correlated,scen_1id_7_objs_300_size_465_sets_78_k_20_correlated.txt,300,1235.0,0.01
scenario 1,correlated,scen_1id_7_objs_500_size_775_sets_83_k_20_correlated.txt,500,1779.0,0.01
scenario 1,correlated,scen_1id_7_objs_700_size_1085_sets_88_k_20_correlated.txt,700,2145.0,0.01
scenario 1,correlated,scen_1id_7_objs_800_size_1240_sets_86_k_18_correlated.txt,800,2253.0,0.01
scenario 1,correlated,scen_1id_8_objs_1000_size_1550_sets_93_k_18_correlated.txt,1000,2642.0,0.01
scenario 1,correlated,scen_1id_8_objs_300_size_465_sets_76_k_20_correlated.txt,300,1242.0,0.01
scenario 1,correlated,scen_1id_8_objs_500_size_775_sets_83_k_20_correlated.txt,500,1775.0,0.01
scenario 1,correlated,scen_1id_8_objs_700_size_1085_sets_88_k_20_correlated.txt,700,2145.0,0.01
scenario 1,correlated,scen_1id_8_objs_800_size_1240_sets_81_k_18_correlated.txt,800,2212.0,0.01
scenario 1,correlated,scen_1id_9_objs_1000_size_1550_sets_85_k_18_correlated.txt,1000,2562.0,0.01
scenario 1,correlated,scen_1id_9_objs_300_size_465_sets_74_k_20_correlated.txt,300,1171.0,0.01
scenario 1,correlated,scen_1id_9_objs_500_size_775_sets_82_k_20_correlated.txt,500,1768.0,0.01
scenario 1,correlated,scen_1id_9_objs_700_size_1085_sets_90_k_20_correlated.txt,700,2165.0,0.01
scenario 1,correlated,scen_1id_9_objs_800_size_1240_sets_96_k_18_correlated.txt,800,2362.0,0.01
scenario 1,fully-correlated,scen_1id_10_objs_1000_size_1550_sets_96_k_18_fully-correlated.txt,1000,2654.0,0.01
scenario 1,fully-correlated,scen_1id_10_objs_300_size_465_sets_73_k_20_fully-correlated.txt,300,1186.0,0.00
scenario 1,fully-correlated,scen_1id_10_objs_500_size_775_sets_79_k_20_fully-correlated.txt,500,1682.0,0.01
scenario 1,fully-correlated,scen_1id_10_objs_700_size_1085_sets_82_k_20_fully-correlated.txt,700,2065.0,0.01
scenario 1,fully-correlated,scen_1id_10_objs_800_size_1240_sets_93_k_18_fully-correlated.txt,800,2311.0,0.01
scenario 1,fully-correlated,scen_1id_1_objs_1000_size_1550_sets_88_k_18_fully-correlated.txt,1000,2574.0,0.01
scenario 1,fully-correlated,scen_1id_1_objs_300_size_465_sets_78_k_20_fully-correlated.txt,300,1186.0,0.00
scenario 1,fully-correlated,scen_1id_1_objs_500_size_775_sets_87_k_20_fully-correlated.txt,500,1756.0,0.01
scenario 1,fully-correlated,scen_1id_1_objs_700_size_1085_sets_92_k_20_fully-correlated.txt,700,2147.0,0.01
scenario 1,fully-correlated,scen_1id_1_objs_800_size_1240_sets_94_k_18_fully-correlated.txt,800,2306.0,0.01
scenario 1,fully-correlated,scen_1id_2_objs_1000_size_1550_sets_85_k_18_fully-correlated.txt,1000,2544.0,0.01
scenario 1,fully-correlated,scen_1id_2_objs_300_size_465_sets_75_k_20_fully-correlated.txt,300,1238.0,0.01
scenario 1,fully-correlated,scen_1id_2_objs_500_size_775_sets_85_k_20_fully-correlated.txt,500,1772.0,0.01
scenario 1,fully-correlated,scen_1id_2_objs_700_size_1085_sets_84_k_20_fully-correlated.txt,700,2065.0,0.01
scenario 1,fully-correlated,scen_1id_2_objs_800_size_1240_sets_81_k_18_fully-correlated.txt,800,2176.0,0.01
scenario 1,fully-correlated,scen_1id_3_objs_1000_size_1550_sets_91_k_18_fully-correlated.txt,1000,2604.0,0.01
scenario 1,fully-correlated,scen_1id_3_objs_300_size_465_sets_78_k_20_fully-correlated.txt,300,1227.0,0.01
scenario 1,fully-correlated,scen_1id_3_objs_500_size_775_sets_88_k_20_fully-correlated.txt,500,1793.0,0.01
